@relation testKNN_predicted-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute feiji numeric
@attribute binqilin numeric
@attribute youxi numeric
@attribute leixing {largeDoses,smallDoses,didntLike}

@data
0.152148,0.030416,0.751214,smallDoses
0.576326,0.170882,0.043678,didntLike
0.788842,0.431777,0.862067,didntLike
0.750463,0.284856,0.012899,didntLike
0.384944,0.116414,0.714481,didntLike
0.289209,0.503827,0.9662,largeDoses
0.080122,0.365533,0.032671,smallDoses
1,1,0.379739,didntLike
0.271088,0.068106,0.494163,didntLike
0.3472,0.322604,0.524721,largeDoses
0.169075,0.109428,0.06712,smallDoses
0.639773,0.265227,0.236716,didntLike
0.372093,0.289551,0.254674,didntLike
0.344483,0.517635,0.329799,largeDoses
0.340122,0.541038,0.159316,largeDoses
0.328005,0.634117,0.373443,largeDoses
0.108192,0,0.882668,smallDoses
0.564701,0.311536,0.236882,largeDoses
0.130137,0.235876,0.896428,smallDoses
0.758614,0.48528,0.528386,didntLike
0.413879,0.115959,0.919704,didntLike
0.755941,0.46746,0.704892,didntLike
0.738619,0.584146,0.387474,didntLike
0.648878,0.35346,0.562618,didntLike
0.31924,0.407208,0.437563,largeDoses
0.065321,0.133785,0.390399,smallDoses
0.118841,0.030495,0.363687,smallDoses
0.772704,0.513902,0.056811,didntLike
0.105289,0.029895,0.082517,smallDoses
0.709235,0.479363,0.166217,didntLike
0.284213,0.469295,0.214264,largeDoses
0.030272,0.03092,0.746543,smallDoses
0.609172,0.160001,0.538928,didntLike
0.341043,0.564879,0.113696,largeDoses
0.056764,0,0.87292,smallDoses
0.766733,0.523232,0.585509,didntLike
0.57454,0.489724,0.16489,largeDoses
0.628335,0.123321,0.677551,didntLike
0.634021,0.125741,0.05767,didntLike
0.619647,0.561499,1,largeDoses
0.463905,0.387404,0.782077,largeDoses
0.170478,0.593218,0.465744,largeDoses
0.381559,0.581655,0.783145,largeDoses
0.093883,0.152892,0.175955,smallDoses
0.850449,0.767496,0.318643,didntLike
0.856595,0.341247,0.092852,didntLike
0.077087,0.230936,0.448702,smallDoses
0.762723,0.481989,0.810013,didntLike
0.236061,0.481223,0.464667,largeDoses
0.402255,0.388613,0.19403,largeDoses
0.224842,0.144004,0.671021,smallDoses
0.463982,0.177844,0.498606,didntLike
0.099011,0.036975,0.67701,smallDoses
0.292836,0.524057,0.611539,largeDoses
0.006431,0.008491,0.095291,smallDoses
0.53592,0.147512,0.570565,didntLike
0.107633,0.402822,0.118866,smallDoses
0.045304,0.087284,0.66526,smallDoses
0.105902,0.104456,0.595515,smallDoses
0.650061,0.343443,0.743751,didntLike
0.39659,0,0.06809,didntLike
0.382468,0.425527,0.609298,largeDoses
0.520592,0.117188,0.801269,didntLike
0.611429,0.15362,0.254307,didntLike
0.15378,0.190003,0.426576,smallDoses
0.469536,0.458968,0.364784,largeDoses
0.70127,0.399816,0.262155,didntLike
0.651102,0.305052,0.804942,didntLike
0.150428,0,0.827898,smallDoses
0.457309,0.459375,0.848077,largeDoses
0.696219,0.473473,0.581167,didntLike
0.333253,0.343501,0.878175,largeDoses
0.762942,0.261323,0.717329,didntLike
0.708424,0,0.539874,didntLike
0.16306,0.218718,0.315467,smallDoses
0.087266,0.156653,0.595925,smallDoses
0.751811,0.489816,0.730941,didntLike
0.095735,0.111941,0.625061,smallDoses
0.082653,0.153018,0.293731,smallDoses
0.069867,0.289971,0.070688,smallDoses
0.403646,0.422068,0.527928,largeDoses
0.887952,0.756861,0.924885,didntLike
0.742125,0.646134,0.719443,didntLike
0.355987,0.031755,0.658419,didntLike
0.430565,0.302358,0.356449,largeDoses
0.846789,0.414807,0.202564,didntLike
0.370701,0.391408,0.568793,largeDoses
0.787637,0.450027,0.22597,didntLike
0.351188,0.439619,0.671107,largeDoses
0.422677,0.487729,0.266299,largeDoses
0.613369,0.101315,0.873784,didntLike
0.796446,0.651793,0.505889,didntLike
0.463434,0.003989,0.413438,didntLike
0.291817,0.437351,0.619874,largeDoses
0.093993,0.092441,0.810472,smallDoses
0.408686,0.67476,0.398405,largeDoses
0.250655,0.427056,0.556077,largeDoses
0.047813,0.127215,0.557709,smallDoses
0.054616,0.04725,0.769536,smallDoses
0.406122,0.098652,0.663843,didntLike
0.450703,0.10615,0.406996,didntLike
0.742377,0.307125,0.475392,didntLike
0.129622,0.055267,0.951697,smallDoses
0.378009,0.144972,0.354524,didntLike
0.044789,0.14708,0.561234,smallDoses
0.166522,0,0.187061,smallDoses
0.18964,0.370493,0.326294,largeDoses
0.469098,0.523828,0.874279,largeDoses
0.479342,0.488639,0.287732,largeDoses
0.639127,0.113196,0.256489,didntLike
0.822138,0.367414,0.814643,didntLike
0.469777,0.548051,0.873741,largeDoses
0.468594,0.529449,0.052273,largeDoses
0.09694,0.169412,0.203438,smallDoses
0.343366,0.388343,0.756465,largeDoses
0.453727,0.20707,0.444599,largeDoses
0.139483,0.005778,0.714609,smallDoses
0.245933,0.292366,0.413352,largeDoses
0.367732,0.357302,0.297831,largeDoses
0.535832,0.421593,0.382525,largeDoses
0.095998,0.32516,0.362454,smallDoses
0.511608,0.605484,0.549354,largeDoses
0.403745,0.412832,0.235001,largeDoses
0.741063,0.560772,0.760568,didntLike
0.001874,0.388752,0.022372,smallDoses
0.292244,0.492204,0.882331,largeDoses
0.095746,0.362531,0.592913,smallDoses
0.730424,0.467405,0.292276,didntLike
0.753038,0.422267,0.302604,didntLike
0.766875,0.234611,0.895252,didntLike
0.898491,0.399761,0.75827,didntLike
0.274495,0.434274,0.947352,largeDoses
0.362484,0.677083,0.330398,largeDoses
0.453354,0.434081,0.583562,largeDoses
0.431858,0.311805,0.022068,largeDoses
0.137565,0.176408,0.272153,smallDoses
0.432023,0.170355,0.142156,didntLike
0.416443,0.050951,0.673064,didntLike
0.759326,0.319503,0.858826,didntLike
0.416333,0.08188,0.143292,didntLike
0.507499,0.626689,0.75483,largeDoses
0.726316,0.541504,0.460245,didntLike
0.249033,0.217297,0.727176,didntLike
0.065211,0.160994,0.275589,smallDoses
0.792217,0.398015,0.334162,didntLike
0.661072,0.429188,0.850396,didntLike
0.145728,0.270363,0.933097,smallDoses
0.305501,0.423307,0.336131,largeDoses
0.122577,0.317867,0.32052,smallDoses
0.622265,0.189601,0.501224,didntLike
0.093905,0.091974,0.98186,smallDoses
0.053838,0.287046,0.16479,smallDoses
0.118151,0,0.221141,smallDoses
0.430533,0.474346,0.053729,largeDoses
0.143668,0.114205,0.069718,smallDoses
0.769165,0.653136,0.077962,didntLike
0.51289,0.546622,0.188897,largeDoses
0.128154,0.017126,0.762353,smallDoses
0.484075,0.458851,0.13124,largeDoses
0.024377,0.304755,0.358179,smallDoses
0.318451,0.55358,0.269863,largeDoses
0.046509,0.254278,0.942487,smallDoses
0.376661,0.2067,0.945681,didntLike
0.486902,0.112736,0.750754,didntLike
0.022153,0,0.697344,smallDoses
0.294348,0.613039,0.524832,largeDoses
0.625267,0.075875,0.859218,didntLike
0.360808,0.406816,0.896814,largeDoses
0.569358,0.498528,0.70031,largeDoses
0.486803,0.39899,0.024294,largeDoses
0.734785,0.360501,0.476917,didntLike
0.189125,0.121464,0.933762,smallDoses
0.873511,0.452837,0.408034,didntLike
0.156224,0.01684,0.279116,smallDoses
0.067074,0,0.347429,smallDoses
0.842297,0.593,0.334076,didntLike
0.125185,0.197271,0.513643,smallDoses
0.027314,0.001629,0.197533,smallDoses
0.218137,0.056294,0.043645,smallDoses
0.119849,0,0.282608,smallDoses
0.194099,0.047559,0.360005,smallDoses
0.343913,0.528394,0.695815,largeDoses
0.223231,0,0.990682,smallDoses
0.288245,0.119268,0.860757,didntLike
0.366855,0.550535,0,largeDoses
0.503369,0.440416,0.47014,largeDoses
0.046553,0.254925,0.063819,smallDoses
0.066712,0,0.996609,smallDoses
0.082313,0,0.663906,smallDoses
0.30526,0.604228,0.997277,largeDoses
0.427706,0.128739,0.776908,didntLike
0.210555,0.159133,0.157649,smallDoses
0.689262,0.343852,0.658832,didntLike
0.851928,0.316239,0.897008,didntLike
0.306115,0.382448,0.49233,largeDoses
0.024038,0.192049,0.301558,smallDoses
0.406166,0.633187,0.546701,largeDoses
0.170751,0.285411,0.479513,smallDoses
0.280225,0.557796,0.522761,largeDoses
0.096162,0.20475,0.750473,smallDoses
0.317903,0.513542,0.572632,largeDoses
0.240049,0.589247,0.939264,largeDoses
0.14151,0,0.202711,smallDoses
0.120255,0,0.543975,smallDoses
0.866247,0.506808,0.337903,didntLike
0.402737,0.519225,0.681023,largeDoses
0.547928,0.058754,0.966461,didntLike
0.012654,0.019618,0.774478,smallDoses
0.78446,0.695658,0.362972,didntLike
0.337635,0.677748,0.363061,largeDoses
0.597756,0.67575,0.213197,didntLike
0.326099,0.004471,0.711795,didntLike
0.757069,0.522436,0.23723,didntLike
0.518488,0.546524,0.486793,largeDoses
0.801979,0.436654,0.34567,didntLike
0.487121,0.242428,0.83823,didntLike
0.499786,0.54783,0.909247,largeDoses
0.309193,0.555468,0.650627,largeDoses
0.07769,0.192266,0.121669,smallDoses
0.066942,0.146173,0.962077,smallDoses
0.865711,0.372008,0.237983,didntLike
0.200377,0.381548,0.548073,largeDoses
0.478553,0.219957,0.157682,didntLike
0.241857,0.124075,0.657604,didntLike
0.257853,0.480372,0.23011,largeDoses
0.277201,0.156097,0.927674,smallDoses
0.353401,0.563129,0.891108,largeDoses
0.40484,0.14704,0.168281,didntLike
0.342818,0.08582,0.114018,didntLike
0.426775,0.530943,0.118782,largeDoses
0.386281,0.286549,0.471485,didntLike
0.283183,0.463975,0.5967,largeDoses
0.358047,0.505895,0.492734,largeDoses
0.679478,0.336448,0.860397,didntLike
0.099416,0.001136,0.008356,smallDoses
0.361597,0.61302,0.398507,largeDoses
0.488512,0.172939,0.290568,didntLike
0.356787,0.398993,0.148824,largeDoses
0.422502,0.291802,0.057869,didntLike
0.829029,0.774774,0.344565,didntLike
0.099361,0.306031,0.997849,smallDoses
0.585003,0.109884,0.329682,didntLike
0.313685,0.366241,0.032357,largeDoses
0.778281,0.303719,0.970363,didntLike
0.779442,0.499192,0.197546,didntLike
0.412532,0.1833,0.793789,didntLike
0.841859,0.525761,0.344318,didntLike
0.108641,0.128873,0.891755,smallDoses
0.426073,0.160457,0.190676,didntLike
0.428111,0.701639,0.467449,largeDoses
0.526673,0.074187,0.076575,didntLike
0.079706,0.117821,0.131227,smallDoses
0.458011,0.073292,0.593926,didntLike
0.390751,0.596286,0.095466,largeDoses
0.744536,0.310315,0.018544,didntLike
0.458975,0.502228,0.89095,largeDoses
0.42558,0.209394,0.441081,didntLike
0.812913,0.653509,0.99553,didntLike
0.155588,0.397603,0.229734,smallDoses
0.042817,0,0.32761,smallDoses
0.026941,0,0.170602,smallDoses
0.350892,0.482606,0.700554,largeDoses
0.141006,0.041143,0.874357,smallDoses
0.108247,0.074456,0.419109,smallDoses
0.797432,0.481505,0.445521,didntLike
0.191963,0,0.253967,smallDoses
0.550908,0.34135,0.520938,largeDoses
0.367425,0.544211,0.848196,largeDoses
0.103557,0.153665,0.638813,smallDoses
0.410384,0.560278,0.177341,largeDoses
0.194187,0.304717,0.870398,largeDoses
0.480635,0.27485,0.116692,largeDoses
0.002892,0.185083,0.32546,smallDoses
0.281967,0.398498,0.374821,largeDoses
0.433688,0.464185,0.886812,largeDoses
0.342336,0.073263,0.845594,didntLike
0.543063,0.467786,0.58043,largeDoses
0.077263,0.125894,0.647271,smallDoses
0.388866,0.441645,0.291287,largeDoses
0.120364,0.057634,0.824881,smallDoses
0.542417,0.149379,0.985011,didntLike
0.062823,0.379337,0.9348,smallDoses
0.717397,0.609323,0.920227,didntLike
0.846559,0.513045,0.321162,didntLike
0.312141,0.19013,0.451466,didntLike
0.148412,0.200505,0.265296,smallDoses
0.407196,0.459397,0.083663,largeDoses
0.179473,0.229336,0.743229,smallDoses
0.118852,0.077215,0.054207,smallDoses
0.387902,0.220598,0.605508,didntLike
0.174389,0,0.80772,smallDoses
0.067172,0.029086,0.301626,smallDoses
0.738795,0.313501,0.393318,didntLike
0.332563,0.588695,0.115626,largeDoses
0.763599,0.335334,0.88143,didntLike
0.366823,0.421729,0.704113,largeDoses
0.471936,0.482175,0.335996,largeDoses
0.420091,0.346168,0.979998,largeDoses
0.15687,0.220007,0.891553,smallDoses
0.058802,0.355409,0.04641,smallDoses
0.415172,0.500377,0.940922,largeDoses
0.396306,0.475547,0.00148,largeDoses
0.439593,0.11848,0.925323,didntLike
0.120255,0.283878,0.517826,smallDoses
0.139198,0,0.558823,smallDoses
0.136897,0.265743,0.800756,smallDoses
0.390926,0.46735,0.315641,largeDoses
0.506196,0.147808,0.289047,didntLike
0.12605,0,0.957385,smallDoses
0.250173,0.213176,0.317353,didntLike
